,category,hasContent,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,sentimentTitle,sentimentText,TitleMatchPicOCR,TextMatchPic,CreatorMatchTitle,NumOfObjectsInPic,lengthOfTitle,lengthOfText,successful
274,Publishing,1,0,0,1,1,0,0,0.5,1,0,0,0,0,50,133,0
275,Games,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,24,64,1
276,Film & Video,1,0,0,1,1,0,1,0.5,0.5,0,0,0,0,29,54,1
277,Film & Video,1,0,0,1,0,0,0,0.0,0,0,0,0,9,20,100,0
278,Dance,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,50,119,0
279,Film & Video,1,1,0,1,1,0,1,0.5,0,0,1,0,24,50,103,1
280,Comics,0,0,0,1,1,0,1,0.5,0.5,0,0,0,3,23,120,1
281,Comics,0,1,0,1,1,0,1,0.5,0.5,0,0,0,15,49,135,1
282,Comics,0,0,0,0,1,0,0,0.0,0,0,0,0,0,10,132,1
283,Comics,0,0,0,1,1,1,0,0.5,0.5,0,0,0,6,14,130,1
284,Publishing,1,0,0,1,0,0,1,0.5,1,0,0,0,8,27,129,1
285,Food,1,0,0,0,1,0,0,0.0,0.5,0,0,1,24,20,78,1
286,Comics,1,0,0,1,1,0,1,0.5,mixed,0,0,0,0,21,132,0
287,Film & Video,1,0,0,0,1,0,0,0.5,mixed,0,0,0,13,37,133,0
288,Crafts,0,1,1,1,1,0,0,0.5,1,0,1,0,21,50,85,1
289,Photography,1,0,0,1,0,0,1,1.0,1,0,0,0,18,50,124,0
290,Publishing,1,1,1,1,1,0,1,0.0,1,0,0,0,29,25,130,0
291,Art,1,0,0,1,1,0,1,1.0,0.5,0,0,0,26,14,135,1
292,Film & Video,1,1,1,1,1,0,0,0.5,0,0,0,0,23,21,117,1
293,Publishing,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,18,92,0
294,Photography,1,0,0,1,1,1,1,0.5,0.5,0,0,0,23,40,87,0
295,Publishing,1,0,0,1,1,0,1,0.5,1,0,0,1,27,35,60,1
296,Food,1,0,0,1,1,0,0,0.5,1,0,0,0,16,17,90,0
297,Food,0,0,0,0,1,0,0,0.5,1,0,0,1,0,47,135,1
298,Art,1,0,0,1,1,0,0,0.5,0.5,0,0,0,25,50,122,1
299,Food,1,0,0,1,1,0,0,0.5,mixed,0,0,0,0,27,133,1
300,Publishing,0,0,0,0,1,0,0,0.5,0.5,0,0,0,30,36,133,1
301,Film & Video,1,1,0,1,1,0,1,0.5,0,0,0,0,20,7,89,1
302,Games,1,0,0,1,0,0,0,0.5,0.5,0,0,0,12,9,130,1
303,Games,0,0,0,1,0,1,1,0.5,0.5,0,1,1,12,49,124,1
304,Music,1,0,0,0,1,0,0,0.5,0,0,0,0,0,30,110,1
305,Publishing,1,0,0,0,1,0,0,0.5,0.5,0,1,0,15,38,84,1
306,Art,1,0,0,1,0,0,1,0.5,0.5,0,0,0,12,50,133,1
307,Games,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,32,119,1
308,Publishing,1,0,0,1,1,0,1,0.5,0.5,0,1,0,2,50,135,1
309,Food,1,0,0,0,1,0,0,0.5,1,0,0,0,1,17,111,0
310,Comics,1,0,0,1,1,0,0,0.0,0,0,0,1,0,50,130,1
311,Music,1,0,0,1,1,0,1,0.0,mixed,0,0,0,0,13,111,0
312,Art,0,0,0,1,1,0,0,0.5,0.5,0,0,0,1,50,128,1
313,Publishing,1,0,0,1,1,0,1,0.5,1,0,0,0,2,45,123,1
314,Art,1,1,0,1,0,0,0,0.5,0.5,0,0,0,25,50,122,1
315,Publishing,0,0,0,1,1,0,0,0.5,0.5,0,1,0,28,42,119,1
316,Publishing,1,1,1,1,1,0,0,0.5,1,0,0,0,22,20,48,0
317,Art,1,0,0,1,1,0,1,0.5,0.5,0,0,0,27,37,129,1
318,Film & Video,0,0,0,0,1,0,0,0.5,0,0,0,0,7,7,123,1
319,Food,1,0,0,1,1,0,1,0.5,0,0,0,0,2,27,129,0
320,Art,1,0,0,1,1,0,1,0.5,1,0,0,0,20,36,129,1
321,Food,1,0,0,1,1,1,1,0.5,0,0,0,0,17,35,112,1
322,Crafts,1,0,0,1,0,0,0,0.5,1,0,0,0,6,21,131,0
323,Publishing,0,0,0,1,1,1,1,0.5,0,0,0,0,10,18,131,1
324,Comics,1,1,0,1,1,0,1,0.0,1,0,0,0,1,15,133,1
325,Food,1,1,0,1,1,0,0,0.5,0.5,0,0,0,29,42,131,0
326,Food,1,0,0,1,1,0,0,0.5,0.5,0,1,0,18,21,127,0
327,Photography,0,0,0,0,1,0,0,0.5,1,0,0,1,0,50,127,0
