,category,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,NumOfObjectsInPic,CLASS_positiveTitle,CLASS_neutralTitle,CLASS_negativeTitle,CLASS_positiveText,CLASS_neutralText,CLASS_negativeText,lengthOfTitle,lengthOfText,TitleMatchPicOCR,CreatorMatchTitle,TextMatchPic,CON_numOfImg,CON_numOfRewards,CON_hasVideo,CON_text_Length,CON_numOfFbFriends,CON_experience,CON_goal,CON_duration,successful
133,Art,0,0,1,1,0,1,28,1,0,0,1,0,0,29,133,0,0,0,2,14,1,3323,413,0,2105,30,1
134,Design,0,0,0,1,0,0,0,0,0,1,0,0,1,29,119,1,0,0,10,8,0,1827,395,3,600,30,1
135,Crafts,0,0,1,1,0,1,3,0,1,0,0,1,0,18,126,0,0,0,1,1,0,511,0,0,6000,45,0
136,Comics,1,0,1,1,0,0,16,0,1,0,0,0,1,38,135,0,0,0,30,17,1,10366,4619,6,8000,30,1
137,Film & Video,1,0,1,1,0,0,22,0,0,1,0,0,1,16,82,0,0,0,6,12,1,9291,0,0,30000,28,1
138,Art,0,0,0,1,0,0,0,0,1,0,0,1,0,9,130,0,0,0,1,4,1,4102,0,0,1500,19,1
139,Comics,0,0,1,0,0,0,0,0,1,0,0,1,0,29,94,0,0,0,39,13,1,2613,0,0,3000,30,0
140,Theater,0,0,1,1,0,0,13,0,1,0,0,1,0,50,128,0,0,0,1,9,1,3626,0,2,50000,30,1
141,Art,0,0,1,1,0,0,26,0,1,0,1,0,0,29,135,0,0,1,10,9,1,2202,1137,0,1200,30,1
142,Technology,0,0,1,0,0,0,19,0,1,0,0,0,1,10,87,0,0,0,1,2,1,1048,0,0,150000,60,0
143,Games,0,0,0,1,0,0,0,0,0,1,0,1,0,50,107,0,0,0,30,7,1,7424,1548,9,500,30,1
144,Design,0,0,0,1,0,0,0,1,0,0,0,1,0,49,130,1,0,0,41,19,1,2950,0,2,6000,50,1
145,Journalism,0,0,1,0,0,0,2,0,1,0,1,0,0,12,125,1,0,0,1,6,1,6249,0,0,5000,14,0
146,Comics,1,0,0,1,0,0,3,0,1,0,0,0,1,37,126,0,0,0,1,2,1,653,0,0,5000,30,0
147,Film & Video,0,0,0,1,0,0,0,0,1,0,0,1,0,16,35,0,0,0,15,8,1,3529,0,0,25000,60,1
148,Photography,0,0,1,1,0,0,28,0,1,0,0,1,0,36,27,0,0,0,1,13,1,6259,0,4,2500,32,1
149,Fashion,0,0,1,1,0,1,16,0,1,0,1,0,0,16,119,0,0,0,19,14,1,5942,362,0,10000,28,0
150,Music,1,1,1,1,0,0,18,0,1,0,1,0,0,50,132,0,0,0,1,4,1,3250,968,0,5500,30,0
151,Film & Video,1,1,1,1,1,0,18,0,1,0,1,0,0,26,118,0,0,0,1,8,1,2412,0,2,3000,7,1
152,Technology,0,0,1,1,0,1,5,0,1,0,0,1,0,29,90,0,0,0,1,19,1,4426,0,0,5000,60,0
153,Technology,0,0,1,0,0,1,17,0,1,0,0,1,0,51,126,0,0,0,58,16,1,9124,0,2,50000,44,1
154,Comics,1,1,1,1,0,0,6,0,0,1,0,1,0,27,128,0,0,0,8,5,0,370,2026,4,1600,30,1
155,Art,0,0,1,1,0,0,10,0,1,0,0,0,1,50,131,0,0,0,1,4,1,3105,0,8,2222,33,1
156,Photography,0,0,1,1,0,1,18,0,1,0,0,1,0,29,89,0,0,0,16,11,1,9026,0,0,35000,30,1
157,Design,0,0,0,1,0,0,3,0,0,1,0,1,0,43,130,0,0,0,1,4,0,2246,0,0,5000,30,0
158,Games,0,0,1,1,0,0,37,0,1,0,0,1,0,32,131,0,0,0,30,1,1,2659,805,7,33000,29,1
159,Publishing,1,1,1,1,0,1,3,0,1,0,0,0,1,50,132,1,0,1,3,11,0,1116,111,0,3000,59,1
160,Crafts,0,0,1,1,0,0,29,0,1,0,1,0,0,20,77,0,0,0,5,3,0,2043,0,0,3500,20,0
161,Film & Video,1,1,1,1,0,1,30,0,1,0,0,1,0,50,122,0,0,0,1,7,1,1898,0,0,7500,30,0
162,Games,0,0,1,1,0,0,6,0,1,0,0,1,0,50,135,0,0,0,56,11,1,5624,0,0,50000,45,0
163,Games,0,0,1,1,0,1,18,0,1,0,0,1,0,58,72,0,0,0,29,3,0,2097,59,5,1500,14,1
164,Design,0,0,1,1,0,1,2,0,1,0,0,1,0,53,121,1,0,0,40,8,1,3397,0,0,30000,30,1
165,Journalism,0,0,1,0,0,1,1,0,1,0,0,1,0,15,123,1,0,0,5,9,0,6852,0,0,10000,30,1
166,Food,0,0,1,1,0,1,19,0,1,0,1,0,0,37,97,0,0,1,23,21,1,4778,624,0,10000,30,1
167,Film & Video,0,0,0,1,0,0,2,0,1,0,0,0,1,8,34,0,0,0,3,5,1,1568,0,2,12000,7,1
168,Art,0,0,1,1,0,1,3,0,0,1,1,0,0,36,133,0,0,0,1,4,0,175,0,0,10000,30,0
169,Design,0,0,1,1,0,1,17,0,1,0,0,1,0,38,78,0,0,0,40,11,1,2992,0,2,10000,44,1
170,Design,0,0,1,1,0,0,3,0,1,0,0,1,0,50,105,1,0,0,3,2,0,2580,0,8,1000,42,1
171,Art,0,0,0,1,0,0,0,0,1,0,0,1,0,50,120,0,0,0,16,7,0,4219,0,0,1000,30,1
172,Technology,0,0,1,1,0,0,1,0,1,0,0,0,1,49,127,0,0,0,1,9,1,0,0,0,23500,30,0
173,Games,0,0,1,1,0,0,1,0,1,0,0,1,0,5,97,0,0,0,24,8,1,12847,0,0,25000,30,0
174,Publishing,0,0,1,1,0,1,1,0,1,0,1,0,0,25,109,0,0,0,2,2,0,2617,0,0,15000,30,0
175,Comics,0,0,0,1,0,0,0,0,1,0,0,0,1,50,121,0,0,0,8,10,1,2317,1212,11,4800,30,1
176,Food,0,0,1,1,0,1,11,0,1,0,1,0,0,50,129,0,0,0,5,1,0,3422,0,0,50000,45,0
177,Film & Video,0,0,1,1,0,0,19,0,1,0,0,0,1,15,132,0,0,0,7,17,1,2664,0,0,35000,30,0
178,Photography,0,0,1,1,0,1,21,1,0,0,0,1,0,41,131,0,0,0,40,21,1,19056,0,7,10000,37,1
179,Art,0,0,1,1,0,1,13,0,1,0,1,0,0,19,121,0,0,0,2,4,0,1547,0,0,100,52,1
180,Music,1,0,1,1,0,0,20,0,1,0,1,0,0,36,134,0,0,0,1,12,1,1601,0,0,1500,21,1
181,Games,0,0,1,1,0,1,1,0,1,0,0,1,0,39,48,0,0,0,11,5,1,3493,0,0,250,28,1
182,Film & Video,0,0,1,1,0,1,33,0,1,0,0,1,0,27,75,0,0,0,5,9,1,1561,0,0,20000,59,1
183,Photography,0,0,1,1,1,0,7,0,1,0,1,0,0,24,91,0,0,0,1,5,0,1367,0,0,2500,60,0
184,Design,0,0,1,1,0,1,15,0,1,0,0,1,0,37,130,0,0,0,50,42,1,888,0,11,10000,22,1
185,Comics,0,0,1,0,0,0,1,0,1,0,0,1,0,43,100,0,0,0,14,9,1,1857,1212,11,5500,30,1
186,Food,0,0,0,1,0,0,1,0,1,0,0,1,0,31,127,1,0,0,1,9,1,2967,0,0,4000,47,0
187,Film & Video,1,1,1,1,0,1,20,0,1,0,0,1,0,5,99,0,0,0,1,3,1,1873,0,0,500,31,1
188,Theater,1,1,1,1,0,1,30,0,1,0,1,0,0,13,33,0,0,0,1,3,0,2277,0,0,25000,29,0
189,Art,0,0,1,0,0,1,13,1,0,0,0,1,0,23,134,0,0,0,2,1,0,1207,1507,0,350,15,1
190,Games,0,0,1,1,0,1,19,0,1,0,0,1,0,46,132,0,0,0,1,1,1,454,0,0,50000,30,0
191,Comics,1,0,1,1,0,1,0,0,0,1,0,0,1,47,134,0,0,0,34,8,1,9348,0,7,4500,27,1
192,Film & Video,0,0,1,1,0,1,8,0,0,1,0,0,1,34,122,1,0,0,20,8,1,5696,0,0,3500,12,0
