,category,duration,success,goal,pledged,backers,%pledged
2503,Music,28,failed,200,92.0,5,46.0
2504,Theater,30,successful,2000,2318.0,26,115.9
2505,Food,30,failed,6500,0.0,0,0.0
2506,Publishing,60,successful,2500,4405.0,120,176.2
2507,Publishing,35,successful,2000,2612.0,61,130.6
2508,Film & Video,60,successful,15000,15549.0,160,103.66
2509,Technology,35,successful,15500,15544.0,50,100.28
2510,Publishing,30,successful,1000,1895.0,41,189.5
2511,Publishing,45,failed,15000,5.0,1,0.03
2512,Art,30,successful,3000,7653.0,110,255.1
2513,Technology,60,failed,20000,4886.0,105,24.43
2514,Art,30,successful,7500,7949.0,56,105.99
2515,Publishing,29,successful,10000,10452.0,148,104.52
2516,Technology,30,successful,25000,26366.0,89,105.46
2517,Food,59,failed,37422,350.0,5,0.94
2518,Technology,45,successful,25000,25797.0,119,103.19
2519,Music,35,failed,3000,367.0,8,12.23
2520,Film & Video,30,successful,60000,62915.0,592,104.86
2521,Comics,30,successful,1000,1088.0,36,108.8
2522,Publishing,30,successful,5000,12079.0,271,241.58
2523,Theater,58,successful,4000,4066.0,27,101.65
2524,Technology,60,failed,88000,1875.0,18,2.13
2525,Food,30,failed,100,20.0,2,20.0
2526,Comics,30,successful,50000,56248.01,460,112.5
2527,Food,22,successful,5000,5025.0,21,100.5
2528,Art,27,successful,5500,5655.0,90,102.82
2529,Publishing,43,failed,600,31.0,4,5.17
2530,Food,29,failed,5000,22.0,2,0.44
2531,Food,29,failed,10000,710.0,9,7.1
2532,Film & Video,14,successful,2000,2034.0,34,101.7
2533,Food,30,successful,7500,10060.0,48,134.13
2534,Music,30,failed,12000,488.0,8,4.07
2535,Food,37,successful,25000,29087.37,272,116.35
2536,Film & Video,30,failed,7001,321.0,3,4.59
2537,Publishing,30,successful,4500,4624.0,35,102.76
2538,Film & Video,29,failed,100000,0.0,0,0.0
2539,Food,30,failed,2000,0.0,0,0.0
2540,Art,28,successful,3000,10386.0,228,346.2
2541,Dance,30,failed,3000,10.0,1,0.33
2542,Art,29,failed,4000,210.0,5,5.25
2543,Technology,31,failed,44000,1536.0,22,3.49
2544,Theater,30,successful,2000,2100.0,41,105.0
2545,Publishing,43,failed,3500,25.0,1,0.71
2546,Music,43,failed,6700,430.0,10,6.42
2547,Games,27,failed,1000000,27.0,3,0.0
2548,Publishing,30,failed,18000,35.0,1,0.19
2549,Film & Video,33,successful,60000,60642.0,492,101.07
2550,Food,29,successful,5000,5000.0,42,100.0
2551,Technology,30,failed,200,45.0,2,22.5
2552,Publishing,29,failed,6000,41.24,3,0.69
2553,Food,45,failed,11000,315.0,5,2.86
2554,Music,28,successful,3000,3432.0,33,114.4
2555,Technology,21,successful,48000,67382.0,114,140.38
2556,Publishing,31,successful,1000,1147.0,17,114.7
2557,Film & Video,44,successful,2500,2506.0,41,100.24
2558,Publishing,39,successful,500,654.24,31,130.85
2559,Art,29,successful,1200,1255.0,25,104.58
2560,Technology,30,failed,20000,2905.0,29,14.52
2561,Film & Video,10,successful,15000,15830.0,90,105.53
2562,Fashion,15,successful,500,900.0,37,180.0
2563,Theater,59,failed,15000,125.0,2,0.83
2564,Technology,40,failed,10000,2902.0,18,29.02
2565,Publishing,30,successful,500,520.0,28,104.0
2566,Music,30,failed,10000,0.0,0,0.0
2567,Film & Video,57,successful,20000,26293.95,203,131.47
2568,Design,30,failed,2000,0.0,0,0.0
2569,Film & Video,15,successful,20000,22087.0,97,110.43
2570,Design,30,failed,5000,15.0,2,0.3
2571,Technology,21,failed,25000,3.0,3,0.01
2572,Film & Video,40,failed,50000,21510.0,27,43.02
2573,Technology,59,failed,60000,101.0,3,0.17
2574,Music,30,successful,2500,2650.0,43,106.0
2575,Theater,21,failed,500,58.0,5,11.6
2576,Food,30,failed,25000,30.0,2,0.12
2577,Publishing,30,successful,11000,11666.0,167,106.05
2578,Music,30,successful,5000,11140.0,179,222.8
2579,Art,9,successful,600,1034.0,24,172.33
2580,Technology,30,successful,500,650.0,7,130.0
2581,Technology,45,failed,40000,877.0,9,2.19
2582,Technology,30,successful,1000,1175.0,22,117.5
2583,Food,30,failed,250000,140.0,5,0.06
2584,Publishing,30,successful,5000,5691.0,100,113.82
2585,Food,30,successful,20000,21139.0,238,105.7
2586,Art,42,successful,4000,6696.0,103,167.4
2587,Food,22,successful,15000,17091.11,173,113.94
2588,Publishing,25,successful,3000,3670.0,85,122.33
2589,Film & Video,30,failed,5000,313.0,9,6.26
2590,Technology,30,successful,10000,10087.0,90,100.87
2591,Games,30,successful,1500,16545.0,387,1103.0
2592,Music,30,successful,3950,5985.0,162,151.52
2593,Film & Video,30,successful,4500,5337.0,62,118.6
2594,Technology,28,successful,10000,12443.9,1211,124.44
2595,Film & Video,24,successful,3000,4978.69,106,165.96
2596,Art,25,successful,3250,3480.0,66,107.08
2597,Music,59,successful,1500,1500.58,17,100.04
2598,Music,29,successful,800,875.0,20,109.38
2599,Technology,30,successful,1847,1976.0,53,106.98
